Temperature dependence of enthalpy
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
333       -114429.500000   -125470.850000   -366865.600000   247.534432       -83473.567120    -93730.517299    -57513.335450    244.755830       81.687304        
334       -114393.200000   -125447.160000   -366811.760000   254.668291       -83463.410293    -93721.099101    -57505.215040    251.778087       84.263325        
335       -114356.900000   -125423.470000   -366757.920000   261.805297       -83453.240546    -93711.667745    -57497.092170    258.801889       86.851435        
336       -114320.600000   -125399.780000   -366704.080000   268.945431       -83443.057980    -93702.223330    -57488.966840    265.827229       89.451539        
337       -114284.300000   -125376.090000   -366650.240000   276.088674       -83432.862701    -93692.765953    -57480.839050    272.854102       92.063538        
338       -114248.000000   -125352.400000   -366596.400000   283.235007       -83422.654810    -93683.295712    -57472.708800    279.882502       94.687337        
339       -114211.700000   -125328.710000   -366542.560000   290.384412       -83412.434408    -93673.812701    -57464.576090    286.912424       97.322843        
340       -114175.400000   -125305.020000   -366488.720000   297.536871       -83402.201594    -93664.317015    -57456.440920    293.943861       99.969962        
341       -114139.100000   -125281.330000   -366434.880000   304.692365       -83391.956466    -93654.808746    -57448.303290    300.976809       102.628601       
342       -114102.800000   -125257.640000   -366381.040000   311.850876       -83381.699124    -93645.287986    -57440.163200    308.011263       105.298670       
343       -114066.500000   -125233.950000   -366327.200000   319.012388       -83371.429661    -93635.754827    -57432.020650    315.047216       107.980078       
344       -114030.200000   -125210.260000   -366273.360000   326.176882       -83361.148174    -93626.209358    -57423.875640    322.084665       110.672737       
345       -113993.900000   -125186.570000   -366219.520000   333.344341       -83350.854756    -93616.651669    -57415.728170    329.123602       113.376559       
346       -113957.600000   -125162.880000   -366165.680000   340.514748       -83340.549501    -93607.081845    -57407.578240    336.164025       116.091457       
347       -113921.300000   -125139.190000   -366111.840000   347.688087       -83330.232499    -93597.499975    -57399.425850    343.205926       118.817345       
348       -113885.000000   -125115.500000   -366058.000000   354.864341       -83319.903843    -93587.906145    -57391.271000    350.249302       121.554138       
349       -113848.700000   -125091.810000   -366004.160000   362.043493       -83309.563620    -93578.300438    -57383.113690    357.294148       124.301752       
350       -113812.400000   -125068.120000   -365950.320000   369.225526       -83299.211921    -93568.682939    -57374.953920    364.340458       127.060104       
351       -113776.100000   -125044.430000   -365896.480000   376.410426       -83288.848833    -93559.053731    -57366.791690    371.388228       129.829113       
352       -113739.800000   -125020.740000   -365842.640000   383.598176       -83278.474442    -93549.412895    -57358.627000    378.437453       132.608696       
353       -113703.500000   -124997.050000   -365788.800000   390.788760       -83268.088835    -93539.760513    -57350.459850    385.488128       135.398774       
354       -113667.200000   -124973.360000   -365734.960000   397.982162       -83257.692095    -93530.096664    -57342.290240    392.540249       138.199268       
355       -113630.900000   -124949.670000   -365681.120000   405.178368       -83247.284307    -93520.421428    -57334.118170    399.593811       141.010099       
356       -113594.600000   -124925.980000   -365627.280000   412.377363       -83236.865554    -93510.734882    -57325.943640    406.648809       143.831189       
357       -113558.300000   -124902.290000   -365573.440000   419.579130       -83226.435916    -93501.037105    -57317.766650    413.705239       146.662463       
358       -113522.000000   -124878.600000   -365519.600000   426.783656       -83215.995477    -93491.328173    -57309.587200    420.763097       149.503844       
359       -113485.700000   -124854.910000   -365465.760000   433.990925       -83205.544314    -93481.608162    -57301.405290    427.822377       152.355257       
360       -113449.400000   -124831.220000   -365411.920000   441.200923       -83195.082509    -93471.877146    -57293.220920    434.883077       155.216628       
361       -113413.100000   -124807.530000   -365358.080000   448.413636       -83184.610138    -93462.135199    -57285.034090    441.945191       158.087885       
362       -113376.800000   -124783.840000   -365304.240000   455.629050       -83174.127279    -93452.382394    -57276.844800    449.008715       160.968953       
363       -113340.500000   -124760.150000   -365250.400000   462.847150       -83163.634010    -93442.618805    -57268.653050    456.073645       163.859763       
364       -113304.200000   -124736.460000   -365196.560000   470.067922       -83153.130405    -93432.844502    -57260.458840    463.139977       166.760242       
365       -113267.900000   -124712.770000   -365142.720000   477.291353       -83142.616540    -93423.059556    -57252.262170    470.207706       169.670321       
366       -113231.600000   -124689.080000   -365088.880000   484.517430       -83132.092489    -93413.264038    -57244.063040    477.276829       172.589931       
367       -113195.300000   -124665.390000   -365035.040000   491.746138       -83121.558325    -93403.458016    -57235.861450    484.347341       175.519002       
368       -113159.000000   -124641.700000   -364981.200000   498.977464       -83111.014120    -93393.641559    -57227.657400    491.419239       178.457468       
369       -113122.700000   -124618.010000   -364927.360000   506.211396       -83100.459946    -93383.814735    -57219.450890    498.492519       181.405260       
370       -113086.400000   -124594.320000   -364873.520000   513.447920       -83089.895875    -93373.977611    -57211.241920    505.567176       184.362313       
371       -113050.100000   -124570.630000   -364819.680000   520.687024       -83079.321976    -93364.130253    -57203.030490    512.643207       187.328561       
372       -113013.800000   -124546.940000   -364765.840000   527.928694       -83068.738319    -93354.272727    -57194.816600    519.720608       190.303938       
373       -112977.500000   -124523.250000   -364712.000000   535.172918       -83058.144972    -93344.405097    -57186.600250    526.799375       193.288382       
374       -112941.200000   -124499.560000   -364658.160000   542.419684       -83047.542004    -93334.527429    -57178.381440    533.879505       196.281827       
