Temperature dependence of specific heat
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
552       36.300000        23.690000        53.840000        7.580725         11.667992        11.053134        8.657920         7.287418         3.989778         
553       36.300000        23.690000        53.840000        7.582199         11.671797        11.057677        8.660380         7.288460         3.993337         
554       36.300000        23.690000        53.840000        7.583671         11.675588        11.062207        8.662840         7.289501         3.996883         
555       36.300000        23.690000        53.840000        7.585140         11.679365        11.066723        8.665300         7.290542         4.000416         
556       36.300000        23.690000        53.840000        7.586607         11.683129        11.071227        8.667760         7.291582         4.003936         
557       36.300000        23.690000        53.840000        7.588071         11.686879        11.075717        8.670220         7.292621         4.007444         
558       36.300000        23.690000        53.840000        7.589533         11.690615        11.080195        8.672680         7.293660         4.010938         
559       36.300000        23.690000        53.840000        7.590992         11.694338        11.084660        8.675140         7.294698         4.014420         
560       36.300000        23.690000        53.840000        7.592449         11.698047        11.089112        8.677600         7.295735         4.017890         
561       36.300000        23.690000        53.840000        7.593903         11.701743        11.093552        8.680060         7.296771         4.021347         
562       36.300000        23.690000        53.840000        7.595355         11.705426        11.097979        8.682520         7.297807         4.024792         
563       36.300000        23.690000        53.840000        7.596805         11.709096        11.102394        8.684980         7.298841         4.028224         
564       36.300000        23.690000        53.840000        7.598252         11.712752        11.106797        8.687440         7.299876         4.031644         
565       36.300000        23.690000        53.840000        7.599697         11.716396        11.111187        8.689900         7.300909         4.035052         
566       36.300000        23.690000        53.840000        7.601139         11.720027        11.115565        8.692360         7.301942         4.038448         
567       36.300000        23.690000        53.840000        7.602579         11.723645        11.119932        8.694820         7.302974         4.041833         
568       36.300000        23.690000        53.840000        7.604017         11.727251        11.124286        8.697280         7.304005         4.045205         
569       36.300000        23.690000        53.840000        7.605452         11.730844        11.128628        8.699740         7.305036         4.048566         
